date,close,high,low,open,volume,MACD,RSI,CCI,DX,Turbulence
2018-04-18,35.68610763549805,35.91798904949152,35.42223847616383,35.67011528794188,17605300,0.1728322695327904,60.20635858859238,148.12434991705956,21.023268871591576,119.96135560480813
2018-04-19,35.630130767822266,35.941973874292046,35.486202710954984,35.51818435119263,21472300,0.2536126593972128,59.72224446669397,119.94472776882522,21.413567969072925,185.94891522373806
2018-04-20,35.25432205200195,35.78205730023086,34.878509524395746,35.58215753877706,23539200,0.28403292302159144,56.44096829248415,79.76362662657019,6.987032891162019,267.60442526076645
2018-04-23,35.38225173950195,35.566159122629095,35.07840329987861,35.390246386495406,20716800,0.3148348377071102,57.300998213054235,72.83087507293376,6.987032891162026,203.14924383202907
2018-04-24,34.97446060180664,35.90998994094036,34.64662514319209,35.526182797944884,21421500,0.3028491833829534,53.66379274862657,53.72345951668371,2.554182201925337,153.35076783593604
2018-04-25,34.950477600097656,35.1743674329583,34.18286315944911,35.02244164454775,21706000,0.2880942668002575,53.44891325833946,13.080132790133677,11.66627718040133,135.23604431626012
2018-04-26,35.35028076171875,35.574170617332406,34.73458899668187,35.166373307262894,20549300,0.30514415112489957,56.57083793578765,45.72530638909993,2.746427213592516,156.73016754771785
2018-04-27,35.75007629394531,36.2538245988342,35.47021781913405,35.73408394535201,20077400,0.3469174174699674,59.49610662927307,104.28493358318524,10.362089082407852,132.41954640429526
2018-04-30,35.41423797607422,36.1258805484843,35.40624027850337,35.91798311483296,19958500,0.34890176412132234,56.07897748522724,76.31723679049428,8.952961845921454,144.13545593096228
2018-05-01,35.846031188964844,35.94198223244671,35.046432042749025,35.11039838832738,16865500,0.3809254058124125,59.31448844720876,65.86291806166223,1.132217850524202,123.7935594819311
2018-05-02,35.0704231262207,36.0219451229727,35.02244607377685,35.91000171749941,23601600,0.33980225505732875,51.916300537088325,14.799096037383983,2.802032552953243,97.67094101491742
2018-05-03,35.5341796875,35.83003352386832,34.73458065992164,35.19035186162305,23750200,0.34070569733066947,55.49104042749514,0.5123446251083928,3.5156261292170554,85.55970315662145
2018-05-04,36.22184371948242,36.381764172042686,35.102406652018466,35.19036000320913,19504100,0.39238722647982627,60.214326134754316,128.15637237135215,8.13684697262268,56.8256349788655
2018-05-07,36.56567001342773,36.7815621573352,36.22184212315608,36.269819171878446,17822400,0.4558345422649168,62.36482011071366,214.47718074640468,15.55481979483336,110.66466882627819
2018-05-08,36.54967880249024,36.67761455284002,36.28581265186894,36.63763520277363,20285300,0.4990736299161682,62.19643489679076,165.83895567520685,15.554819794833358,106.29649538799153
2018-05-09,36.81354141235352,36.86151540375251,36.13388038199379,36.70159803211808,20438300,0.5483118283794184,63.927151279175064,143.5267668629073,19.042321591247234,109.16443121529097
2018-05-10,37.02143096923828,37.07740265201378,36.51768277403085,36.78155189302501,18469400,0.5972239789681666,65.27599746642963,142.16834175484158,23.059512245968218,123.87893620937034
2018-05-11,36.725582122802734,36.997445903396375,36.60564105333597,36.8535178401275,17551500,0.6051390154235463,61.738008343871144,106.74040535096358,23.05951224596821,87.49960904045236
2018-05-14,36.54167175292969,36.96545821024253,36.51768171084725,36.58165108942994,22037700,0.589773170999301,59.57629795231946,79.59904932127499,20.240230061837835,111.00668027331653
2018-05-15,36.365760803222656,36.42173248712543,35.925981979603186,36.14986871521426,24753600,0.5569805599096682,57.50233168038783,20.17839293133382,3.1247073293944556,102.38926929940186
2018-05-16,36.10990905761719,36.42175233796074,35.98996792660982,36.26982954888378,31253700,0.5045311605756453,54.52904839301404,3.616292415407516,3.125205540335627,90.06628226147755
2018-05-17,34.75058364868164,35.310303749443435,34.398761066885534,34.486717474891854,48210400,0.3492524685262026,42.07977560064457,-156.70957536215045,28.581114619908355,246.73659673969667
2018-05-18,34.55067443847656,34.838530586346266,34.47071575305868,34.750574202249595,24456000,0.20766811504061167,40.61133174034716,-149.06340999064375,28.581114619908355,185.7261413512685
2018-05-21,34.982452392578125,35.13437508774389,34.71858328756477,34.77455801760246,21785900,0.12881743995840367,45.0700067918173,-100.11945907181457,20.58670032054312,155.1236280441961
2018-05-22,34.90249252319336,35.110386891031474,34.7665591267307,35.014435878969856,16381800,0.05919327542788011,44.40514432509905,-93.7596167492911,20.58670032054313,73.22915549274805
2018-05-23,34.926483154296875,34.94247549967876,34.29479923773849,34.70259641940651,20638800,0.005883643870305377,44.66887942860468,-100.75904421255456,28.776269563029626,36.62919002498335
2018-05-24,34.83853530883789,35.15837619432169,34.39075867920632,34.86252230766912,18377500,-0.042965994097407645,43.847680876117415,-78.47198923007528,22.547667605248098,45.50662471505097
2018-05-25,34.590660095214844,34.87851629562857,34.55068074520825,34.75058054547012,15362000,-0.10052238283294912,41.53028308312185,-75.19038961851184,22.547667605248105,75.54511876495478
2018-05-29,34.35877227783203,34.51069499979484,33.99895209399555,34.19085415855612,25197400,-0.1629690388376801,39.43076931981301,-90.60404363790495,32.25838173958615,74.17732872623463
2018-05-30,34.262813568115234,34.65461839320784,34.24682427341815,34.44672400963872,22498800,-0.2176921103989926,38.56199988357919,-75.1483778974396,27.75854094729464,97.59670930433215
2018-05-31,34.15087127685547,34.4867044303761,34.070912599946176,34.27081234244741,31439600,-0.2670153593820075,37.52335887495658,-82.96583818645126,30.855118312734515,116.41454911759214
